step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
3,0.7861328125,0.06353250827606023,0.7822707948580612,0.786127812531801,0.7845199030885007,0.6211506128311157,0.6211506128311157,0.10695247451233082,0.001,0.9,0.7939512084540096,0.7861328125,0.7951983682461875,0.7833623289572803,0.7861328125,0.7861328125
4,0.96875,0.024719471914706404,0.9677550599103991,0.9687450000258063,0.9687388362346756,0.20500090718269348,0.20500090718269348,0.051549760977731174,0.001,0.9,0.9687914056444352,0.96875,0.9696765470772619,0.9676773441875678,0.96875,0.96875
5,0.994140625,0.008915894645504336,0.9940573550757461,0.9941356250251472,0.994133838595087,0.05766163766384125,0.05766163766384125,0.020805796300210247,0.001,0.9,0.9943680990357597,0.994140625,0.9942332533769727,0.9938549769266587,0.994140625,0.994140625
6,0.9990234375,0.002586268401882396,0.9990160358409522,0.9990184375250243,0.9990181577382844,0.021093133836984634,0.021093133836984634,0.00771599255632578,0.001,0.9,0.9990825688073395,0.9990234375,0.9990323967889908,0.9989690721649485,0.9990234375,0.9990234375
7,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.008966531604528427,0.008966531604528427,0.003951641682610899,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0063561489805579185,0.0063561489805579185,0.004025470236585074,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0032669384963810444,0.0032669384963810444,0.0009617844764704419,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.002998503390699625,0.002998503390699625,0.001395984701736054,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
1,0.55078125,0.1844228086170021,0.5489503300602787,0.5507762500453897,0.5482570579489106,2.069018840789795,2.069018840789795,0.892058087736066,0.001,0.9,0.5575392519356861,0.55078125,0.5574357999493847,0.5518180416771477,0.55078125,0.55078125
2,0.59375,0.05969458859851104,0.5921670040621285,0.5937450000421048,0.592222818680871,1.158308982849121,1.158308982849121,0.10479565516579434,0.001,0.9,0.6114390593385374,0.59375,0.610003774087923,0.5936340523068913,0.59375,0.59375
3,0.7861328125,0.06353250827606023,0.7822707948580612,0.786127812531801,0.7845199030885007,0.6211506128311157,0.6211506128311157,0.10695247451233082,0.001,0.9,0.7939512084540096,0.7861328125,0.7951983682461875,0.7833623289572803,0.7861328125,0.7861328125
4,0.96875,0.024719471914706404,0.9677550599103991,0.9687450000258063,0.9687388362346756,0.20500090718269348,0.20500090718269348,0.051549760977731174,0.001,0.9,0.9687914056444352,0.96875,0.9696765470772619,0.9676773441875678,0.96875,0.96875
5,0.994140625,0.008915894645504336,0.9940573550757461,0.9941356250251472,0.994133838595087,0.05766163766384125,0.05766163766384125,0.020805796300210247,0.001,0.9,0.9943680990357597,0.994140625,0.9942332533769727,0.9938549769266587,0.994140625,0.994140625
6,0.9990234375,0.002586268401882396,0.9990160358409522,0.9990184375250243,0.9990181577382844,0.021093133836984634,0.021093133836984634,0.00771599255632578,0.001,0.9,0.9990825688073395,0.9990234375,0.9990323967889908,0.9989690721649485,0.9990234375,0.9990234375
7,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.008966531604528427,0.008966531604528427,0.003951641682610899,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0063561489805579185,0.0063561489805579185,0.004025470236585074,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0032669384963810444,0.0032669384963810444,0.0009617844764704419,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.002998503390699625,0.002998503390699625,0.001395984701736054,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.0029988689348101616,0.0029988689348101616,0.0031124530712077648,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.0017608741763979197,0.0017608741763979197,0.0006493037923237084,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.001359355403110385,0.001359355403110385,0.0003525367203539969,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0011338768526911736,0.0011338768526911736,0.00023067280447088787,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.0010472151916474104,0.0010472151916474104,0.0003833402169137051,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.000912445189896971,0.000912445189896971,0.00033146645484956566,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.000905210617929697,0.000905210617929697,0.0003814247976485441,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0009614421287551522,0.0009614421287551522,0.00037890175327620027,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0008137240074574947,0.0008137240074574947,0.00030900514328847874,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0006310772150754929,0.0006310772150754929,0.00020307498867949803,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.0005400218069553375,0.0005400218069553375,0.00019519711248680322,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0006609309930354357,0.0006609309930354357,0.00037241016522715866,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.00052288529695943,0.00052288529695943,0.00011592000522839881,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,0.0,0.999995000025,0.9999950000249999,0.999995000025,0.0005384475225582719,0.0005384475225582719,0.00015939536854225124,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0005947316531091928,0.0005947316531091928,0.00036028074366773393,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.0005996747058816254,0.0005996747058816254,0.0002560704009284797,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
